pc11_state_id,pc11_district_id,state_name,district_name,st_share,sc_share,ptg_share,tot_p,inc_5k_plus_share,ed_prim_share,land_own_share
5,56,uttarakhand,uttarkashi,0.0014805141117476303,0.08546118113901169,0.00016674556608461282,32672.164634146342,0.15798744174841084,0.4887376111202563,0.7803925802103449
5,57,uttarakhand,chamoli,0.009108981908453146,0.04748082823513841,3.949821549365757e-05,81489.0,0.4023492495490265,0.6344061213136284,0.845154953699892
5,58,uttarakhand,rudraprayag,0.00023983936949879757,0.03765810485969051,4.947286780426359e-06,33681.0,0.4360732021549781,0.5894072471138758,0.8347527430556972
5,59,uttarakhand,tehri garhwal,0.0007302475619457377,0.04751212670236499,5.398433447193434e-05,51525.0,0.2746880204840275,0.5807824670856983,0.7914737505710577
5,60,uttarakhand,dehradun,0.12368674321798735,0.08051865052213267,0.0036800819199006665,97053.7370659107,0.30449257313653333,0.5191118700759428,0.5327492312713632
5,61,uttarakhand,garhwal,0.0002468919322171824,0.05324015308526597,0.0012249556760538804,130026.0,0.32947275990029806,0.5943358059779655,0.8425750478301512
5,62,uttarakhand,pithoragarh,0.013492059562026891,0.08754428550863684,9.91391285386291e-05,89020.0,0.34907204079121407,0.6031083946782541,0.9126368098228302
5,63,uttarakhand,bageshwar,0.002710810027528335,0.09447179732390451,0.00030304003032106974,46178.0,0.3358517238548975,0.6180656538969421,0.8305663039666206
5,64,uttarakhand,almora,0.00040920618043308954,0.06254930740716604,0.0037621069038777932,147159.0,0.22768908658123396,0.558400432587887,0.7991008651389548
5,65,uttarakhand,champawat,,,0.0005729613467104707,0.0,0.20055847382322192,,0.8666065746238485
5,66,uttarakhand,nainital,0.0025673920044507704,0.0758353397119552,0.0008379063088685015,96141.0,0.3104890745305563,0.6258418671530122,0.6292849317009077
5,67,uttarakhand,udham singh nagar,0.03335372100469691,0.051543117000789,0.002065400673633014,240409.0,0.35857895689768954,0.5585416248241751,0.42503055679674806
5,68,uttarakhand,hardwar,0.0007731786538784766,0.09501716927871258,0.0023122897857382626,253399.0,0.3320528512804544,0.46681741445704744,0.3372408936597038
6,69,haryana,ambala,0.0,0.0,0.0,1073.0,0.5875000074505806,0.5442683986159873,0.7812499925494194
6,69,haryana,panchkula,0.0,0.05707550958381034,4.215851658955e-06,224212.0,0.3630431950511411,0.5783843359351158,0.4477213034895249
6,70,haryana,ambala,1.785715352285481e-05,0.11049612868026558,6.095739602375839e-06,564965.0,0.4044701201380433,0.6370292915424793,0.34579019639617137
6,71,haryana,yamunanagar,0.0,0.10157854021780251,0.0,655987.0,0.34635851158790004,0.5848510519381691,0.3850118868072635
6,72,haryana,kurukshetra,0.0,0.07692225418917704,3.7072462131689052e-06,661942.0,0.4282778028528489,0.5781425749188038,0.38441422530704766
6,73,haryana,kaithal,0.0,0.07411617041295605,0.0,808976.0,0.382149704273395,0.5031731068862207,0.47534391091727285
6,74,haryana,karnal,1.148993356360303e-05,0.07270648390563066,4.650557218495707e-06,968883.0,0.3825253553734635,0.5551383649671807,0.38392912205675434
6,75,haryana,karnal,0.0,0.1163243148694285,0.0,8358.0,0.5205066281003458,0.5678392039671216,0.2563329323748772
6,75,haryana,panipat,0.0006281636473922723,0.052337378636790624,0.0,584386.0,0.3645428724588276,0.5669510533883746,0.347105382866041
6,76,haryana,sonipat,0.00056482221140643,0.04881011695554147,0.0,920638.0,0.4414348038211158,0.6209357676669379,0.4312478904105418
6,77,haryana,jind,0.0,0.06571777922334149,0.0,958769.0,0.38992159119496744,0.5343567998210589,0.5514383698503177
6,78,haryana,fatehabad,0.0,0.10613370672005021,0.0,720738.0,0.4009006653842105,0.46719537676320483,0.45294739407913215
6,79,haryana,sirsa,0.0,0.08059043411546507,2.5373245981487738e-05,900628.0,0.45178465166913073,0.5121268939132827,0.44603566750892915
6,80,haryana,hisar,6.628397827487878e-06,0.07173888791415567,8.380262773822349e-06,1131382.0,0.4049773637036031,0.5264565151071909,0.5568623516257062
